year,lobster landed(thousands of pounds),fresh export,canned export,total export
1975,38554,NA,NA,NA
1974,31388,NA,NA,NA
1973,35599,39874,1778,41652
1972,33185,36954,1417,38371
1971,38159,34476,1499,35975
1970,36588,29614,1837,31451
1969,40167,27822,1879,29701
1968,37310,24166,1704,25870
1967,34924,23293,1939,25232
1966,37340,22160,2591,24751
1965,40522,25731,2491,28222
1964,41881,22659,2702,25361
1963,44373,20418,1788,22206
1962,46452,19727,2539,22266
1961,47547,18781,2063,20844
1960,51517,17702,2453,20155
1959,45714,17259,1925,19184
1958,42950,15590,1822,17412
1957,44438,16414,2063,18477
1956,51960,16846,2073,18919
1955,48569,16714,1843,18557
1954,46675,13697,1921,15618
1953,46397,13769,1967,15736
1952,47857,14104,2352,16456
1951,45573,11798,2214,14012
1950,44685,11533,2906,14439
1949,38205,10116,2353,12469
1948,35647,9182,2382,11564
1947,31884,7627,2438,10065
1946,38309,9572,3781,13353
1945,37180,9518,2690,12208
1944,33350,5787,3147,8934
1943,30109,4331,2243,6574
1942,28025,3005,929,3934
1941,27802,2463,739,3202
1940,26799,2017,715,2732
1939,31466,2011,1431,3442
1938,31438,1953,1899,3852
1937,30995,2438,1984,4422
1936,28327,2101,2080,4181
1935,31997,1641,2275,3916
1934,36199,1550,2499,4049
1933,37492,1606,2451,4057
1932,48349,1854,2470,4324
1931,43549,1876,3113,4989
1930,40726,2279,3235,5514
1929,37282,2266,3114,5380
1928,32244,1515,3107,4622
1927,31683,1485,3236,4721
1926,33958,1350,3607,4957
1925,34084,1270,2820,4090
1924,27221,1321,4468,5789
1923,38163,1042,4808,5850
1922,36392,1403,3756,5159
1921,39362,1034,5180,6214
1920,39998,848,4084,4932
1919,34581,789,2230,3019
1918,26410,856,3325,4181
1917,48090,1038,3639,4677
1916,44528,935,2672,3607
1915,40882,849,3014,3863
1914,51465,708,2984,3692
1913,55514,629,3049,3678
1912,58914,567,3081,3648
1911,57910,529,2736,3265
1910,NA,528,2619,3147
1909,NA,463,2755,3218
1908,NA,481,2652,3133
1907,NA,164,1369,1533
1906,NA,498,3010,3508
1905,NA,376,2755,3131
1904,NA,385,2520,2905
1903,NA,398,2592,2990
1902,NA,365,2149,2514
1901,NA,301,2284,2585
1900,NA,306,2373,2679
1899,NA,368,2320,2688
1898,NA,337,2291,2628
1897,NA,331,2075,2406
1896,NA,341,2146,2487
1895,NA,307,1829,2136
1894,NA,258,2073,2331
1893,NA,291,1780,2071
1892,NA,255,1655,1910
1891,NA,179,1751,1930
1890,NA,141,998,1139
1889,NA,111,1099,1210
1888,NA,109,1221,1330
1887,NA,81,1379,1460
1886,NA,82,1663,1745
1885,NA,53,1653,1706
1884,NA,41,1146,1187
1883,NA,31,1479,1510
1882,NA,14,1432,1446
1881,NA,1,1348,1349
1880,NA,1,918,919
1879,NA,1,1104,1105
1878,NA,1,927,928
1877,NA,NA,670,670
1876,NA,NA,572,572
1875,NA,2,593,595
1874,NA,NA,524,524
1873,NA,6,278,284
